quote_date,underlying_price
9/23/2008,1194.34
9/24/2008,1182.84
9/25/2008,1210.9
9/26/2008,1211.01
9/29/2008,1134.14
9/30/2008,1161.81
10/1/2008,1161.28
10/2/2008,1114.62
10/3/2008,1101.81
10/6/2008,1049.54
10/7/2008,1007.55
10/8/2008,1008.16
10/9/2008,921.31
10/10/2008,914.63
10/13/2008,982.62
10/14/2008,999.41
10/15/2008,927.51
10/16/2008,936.43
10/17/2008,955.17
10/20/2008,973.63
10/21/2008,961.45
10/22/2008,881.39
10/23/2008,894.76
10/24/2008,884.91
10/27/2008,868.73
10/28/2008,918.03
10/29/2008,962.44
10/30/2008,942.27
10/31/2008,962.15
11/3/2008,967.69
11/4/2008,1002.88
11/5/2008,956.77
11/6/2008,906.02
11/7/2008,921.17
11/10/2008,914.46
11/11/2008,893.63
11/12/2008,858.3
11/13/2008,898.68
11/14/2008,889.19
11/17/2008,864.1
11/18/2008,844.57
11/19/2008,813.9
11/20/2008,755.82
11/21/2008,781.79
11/24/2008,864.98
11/25/2008,863.85
11/26/2008,880.44
11/28/2008,896.24
12/1/2008,823.72
12/2/2008,840.17
12/3/2008,865.98
12/4/2008,840.75
12/5/2008,874.27
12/8/2008,911.84
12/9/2008,891.82
12/10/2008,897.04
12/11/2008,873.47
12/12/2008,875.97
12/15/2008,870.74
12/16/2008,911.34
12/17/2008,910.33
12/18/2008,882.64
12/19/2008,886.73
12/22/2008,863.73
12/23/2008,862.87
12/24/2008,868.15
12/26/2008,873.03
12/29/2008,867.79
12/30/2008,886.24
12/31/2008,906.75
1/2/2009,933.41
1/5/2009,925.78
1/6/2009,934.6
1/7/2009,904.44
1/8/2009,906.91
1/9/2009,895.62
1/12/2009,866.87
1/13/2009,873.01
1/14/2009,840.34
1/15/2009,833.98
1/16/2009,850.05
1/20/2009,808.53
1/21/2009,835.22
1/22/2009,829.92
1/23/2009,830.09
1/26/2009,835.36
1/27/2009,846.61
1/28/2009,869.99
1/29/2009,846.56
1/30/2009,826
2/2/2009,828.7
2/3/2009,837.95
2/4/2009,834.05
2/5/2009,847.41
2/6/2009,869.12
2/9/2009,869.78
2/10/2009,825.83
2/11/2009,829.95
2/12/2009,831.76
2/13/2009,833.5
2/17/2009,796.04
2/18/2009,788.97
2/19/2009,780.92
2/20/2009,766.49
2/23/2009,745.76
2/24/2009,772.67
2/25/2009,773.11
2/26/2009,757.26
2/27/2009,740.1
3/2/2009,701.12
3/3/2009,695.7
3/4/2009,719.14
3/5/2009,679.13
3/6/2009,677.84
3/9/2009,675.21
3/10/2009,715.09
3/11/2009,727.32
3/12/2009,750.48
3/13/2009,756.19
3/16/2009,754.99
3/17/2009,772.74
3/18/2009,790.41
3/19/2009,785.36
3/20/2009,772.48
3/23/2009,815.89
3/24/2009,812.19
3/25/2009,803.85
3/26/2009,831.24
3/27/2009,817.41
3/30/2009,784.79
3/31/2009,800.19
4/2/2008,1366.09
4/3/2008,1368.5
4/4/2008,1369.35
4/7/2008,1372.19
4/8/2008,1366.75
4/9/2008,1356.18
4/10/2008,1357.16
4/11/2008,1331.49
4/14/2008,1329.05
4/15/2008,1331.89
4/16/2008,1362.55
4/17/2008,1367.27
4/18/2008,1388.19
4/21/2008,1389.37
4/22/2008,1374.32
4/23/2008,1379.19
4/24/2008,1388.69
4/25/2008,1395.87
4/28/2008,1398.38
4/29/2008,1392.82
4/30/2008,1388.64
5/1/2008,1406
5/2/2008,1412.55
5/5/2008,1406.94
5/6/2008,1418.86
5/7/2008,1395.55
5/8/2008,1395.21
5/9/2008,1391.19
5/12/2008,1402.18
5/13/2008,1402.07
5/14/2008,1408.17
5/15/2008,1422.09
5/16/2008,1425.11
5/19/2008,1424.14
5/20/2008,1410.9
5/21/2008,1390.53
5/22/2008,1392.69
5/23/2008,1377.99
5/27/2008,1385.94
5/28/2008,1386.93
5/29/2008,1398.2
5/30/2008,1401.82
6/2/2008,1385.21
6/3/2008,1380.26
6/4/2008,1373.87
6/5/2008,1401.12
6/6/2008,1365.12
6/9/2008,1361.52
6/10/2008,1359.1
6/11/2008,1338.46
6/12/2008,1335.36
6/13/2008,1352.99
6/16/2008,1360.15
6/17/2008,1351.27
6/18/2008,1337.9
6/19/2008,1344.05
6/20/2008,1318.69
6/23/2008,1317.27
6/24/2008,1315.53
6/25/2008,1324.17
6/26/2008,1288.64
6/27/2008,1282.13
6/30/2008,1287.06
7/1/2008,1281.41
7/2/2008,1265.23
7/3/2008,1262.9
7/7/2008,1259.64
7/8/2008,1269.78
7/9/2008,1246.17
7/10/2008,1248.17
7/11/2008,1236.95
7/14/2008,1233.66
7/15/2008,1218.55
7/16/2008,1242.33
7/17/2008,1255.69
7/18/2008,1259.23
7/21/2008,1257.82
7/22/2008,1274.53
7/23/2008,1279.19
7/24/2008,1252.58
7/25/2008,1253.65
7/28/2008,1237.42
7/29/2008,1260.17
7/30/2008,1283.84
7/31/2008,1270.16
8/1/2008,1264.37
8/4/2008,1248.42
8/5/2008,1281.95
8/6/2008,1288.34
8/7/2008,1265.12
8/8/2008,1297.31
8/11/2008,1301.65
8/12/2008,1288.13
8/13/2008,1283.05
8/14/2008,1292.49
8/15/2008,1298.06
8/18/2008,1275.7
8/19/2008,1265.81
8/20/2008,1273.35
8/21/2008,1280.23
8/22/2008,1290.83
8/25/2008,1265.72
8/26/2008,1269.03
8/27/2008,1278.52
8/28/2008,1298.71
8/29/2008,1285.99
9/2/2008,1275.03
9/3/2008,1272.76
9/4/2008,1241.15
9/5/2008,1242.33
9/8/2008,1265.73
9/9/2008,1231.39
9/10/2008,1235.51
9/11/2008,1237.2
9/12/2008,1247.87
9/15/2008,1210.21
9/16/2008,1207.74
9/17/2008,1169.45
9/18/2008,1206.66
9/19/2008,1249.38
9/22/2008,1208.04
4/1/2009,811.88
4/2/2009,837.53
4/3/2009,836.86
4/6/2009,832.61
4/7/2009,821.53
4/8/2009,822.49
4/9/2009,852.92
4/13/2009,864.31
4/14/2009,843.28
4/15/2009,846.68
4/16/2009,865.46
4/17/2009,874.42
4/20/2009,835.68
4/21/2009,844.4
4/22/2009,850.35
4/23/2009,847.12
4/24/2009,870.23
4/27/2009,860.93
4/28/2009,855.8
4/29/2009,872.97
4/30/2009,874.48
5/1/2009,874.74
5/4/2009,901.96
5/5/2009,903.72
5/6/2009,916.52
5/7/2009,905.85
5/8/2009,927.56
5/11/2009,911.53
5/12/2009,908.35
5/13/2009,884.55
5/14/2009,893.13
5/15/2009,884.56
5/18/2009,905.29
5/19/2009,911.34
5/20/2009,902
5/21/2009,884.72
5/22/2009,892.44
5/26/2009,907.9
5/27/2009,894.24
5/28/2009,906.55
5/29/2009,912.46
6/1/2009,945.39
6/2/2009,947.65
6/3/2009,926.97
6/4/2009,940.03
6/5/2009,941.12
6/8/2009,942.48
6/9/2009,944.73
6/10/2009,937.13
6/11/2009,947.87
6/12/2009,943.09
6/15/2009,923.26
6/16/2009,916.58
6/17/2009,911.43
6/18/2009,918.84
6/19/2009,922.64
6/22/2009,896
6/23/2009,895.18
6/24/2009,898.91
6/25/2009,915.04
6/26/2009,921.67
6/29/2009,926.15
6/30/2009,919.92
7/1/2009,923.82
7/2/2009,899.61
7/6/2009,894.82
7/7/2009,883.05
7/8/2009,879.06
7/9/2009,882.31
7/10/2009,877.81
7/13/2009,899.85
7/14/2009,905.45
7/15/2009,931.77
7/16/2009,942.57
7/17/2009,938.25
7/20/2009,949.86
7/21/2009,951.88
7/22/2009,953.27
7/23/2009,978.36
7/24/2009,977.12
7/27/2009,979.43
7/28/2009,978.6
7/29/2009,974.36
7/30/2009,986.39
7/31/2009,987.99
8/3/2009,1000.76
8/4/2009,1001.51
8/5/2009,1003.03
8/6/2009,997.47
8/7/2009,1012.21
8/10/2009,1005.58
8/11/2009,998.76
8/12/2009,1009.21
8/13/2009,1011.59
8/14/2009,1000.5
8/17/2009,980.06
8/18/2009,989.98
8/19/2009,995.52
8/20/2009,1007.55
8/21/2009,1026.11
8/24/2009,1023.96
8/25/2009,1028.99
8/26/2009,1026.26
8/27/2009,1030.6
8/28/2009,1027.4
8/31/2009,1018.26
9/1/2009,997.77
9/2/2009,997.53
9/3/2009,1000.25
9/4/2009,1014.85
9/8/2009,1024.85
9/9/2009,1031.77
9/10/2009,1042.5
9/11/2009,1044.88
9/14/2009,1048.74
9/15/2009,1052.36
9/16/2009,1067.16
9/17/2009,1066.01
9/18/2009,1069.44
9/21/2009,1064.37
9/22/2009,1071.75
9/23/2009,1068.05
9/24/2009,1051.24
9/25/2009,1044.91
9/28/2009,1061.83
9/29/2009,1062.27
9/30/2009,1054.92
10/1/2009,1034.85
10/2/2009,1026.68
10/5/2009,1040.25
10/6/2009,1053.47
10/7/2009,1056.24
10/8/2009,1065.75
10/9/2009,1070.34
10/12/2009,1074.41
10/13/2009,1073.21
10/14/2009,1092.05
10/15/2009,1093.56
10/16/2009,1089.76
10/19/2009,1097.85
10/20/2009,1091.13
10/21/2009,1082.03
10/22/2009,1092.74
10/23/2009,1077.83
10/26/2009,1067.33
10/27/2009,1065.73
10/28/2009,1044.15
10/29/2009,1063.15
10/30/2009,1040.04
11/2/2009,1042.11
11/3/2009,1043.59
11/4/2009,1048.98
11/5/2009,1064.18
11/6/2009,1068.96
11/9/2009,1090.28
11/10/2009,1092.15
11/11/2009,1096.91
11/12/2009,1085.59
11/13/2009,1093.88
11/16/2009,1107.16
11/17/2009,1109.39
11/18/2009,1107.97
11/19/2009,1095.38
11/20/2009,1093.13
11/23/2009,1104.02
11/24/2009,1104.61
11/25/2009,1110.03
11/27/2009,1091.49
11/30/2009,1095
12/1/2009,1109.12
12/2/2009,1109.33
12/3/2009,1102.83
12/4/2009,1104.21
12/7/2009,1105.01
12/8/2009,1092.64
12/9/2009,1095.25
12/10/2009,1101.69
12/11/2009,1105.59
12/14/2009,1113.43
12/15/2009,1105.83
12/16/2009,1109.66
12/17/2009,1099.22
12/18/2009,1100.13
12/21/2009,1113.45
12/22/2009,1117.3
12/23/2009,1120.24
12/24/2009,1126.48
12/28/2009,1125.85
12/29/2009,1127.51
12/30/2009,1125.25
12/31/2009,1119.64
1/4/2010,1132.12
1/5/2010,1135.59
1/6/2010,1136.91
1/7/2010,1142.16
1/8/2010,1144.28
1/11/2010,1147.76
1/12/2010,1133.15
1/13/2010,1146.71
1/14/2010,1148.82
1/15/2010,1136.29
1/19/2010,1149.06
1/20/2010,1137.91
1/21/2010,1117.53
1/22/2010,1093.91
1/25/2010,1098.32
1/26/2010,1091.83
1/27/2010,1098.17
1/28/2010,1089.28
1/29/2010,1076.93
2/1/2010,1086.89
2/2/2010,1102.63
2/3/2010,1099.03
